 Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max,Fwd Packets/s,Label,Appear Frequncy
4,2,216,140,54,64.57758189,BENIGN,Infrequent
21,17,1130,3552,763,0.181631922,BENIGN,Infrequent
2,2,64,230,32,9756.097561,BENIGN,Infrequent
2,2,68,196,34,82.94625083,BENIGN,Infrequent
1,1,62,90,62,19.6359495,BENIGN,Infrequent
2,2,66,194,33,9.2996005822,BENIGN,Infrequent
2,0,12,0,6,0.13548575,BENIGN,Frequent
5,7,1656,526,1082,6.7255284920000005,BENIGN,Infrequent
2,0,62,0,31,4.166822923,BENIGN,Infrequent
22,24,4038,5042,950,0.187554726,BENIGN,Infrequent
2,2,84,310,42,42.49984063,BENIGN,Infrequent
10,5,713,479,469,111.1271628124,BENIGN,Infrequent
24,19,2501,1528,625,0.203388729,BENIGN,Frequent
2,2,54,110,27,82.82945415,BENIGN,Infrequent
2,0,0,0,0,212.0665889,BENIGN,Frequent
10,5,1190,1887,949,54.1609120698,BENIGN,Infrequent
3,1,31,0,31,0.614260173,BENIGN,Infrequent
4,4,826,1260,826,3.742332895,BENIGN,Infrequent
3,1,12,0,6,0.48416810600000004,BENIGN,Frequent
2,2,92,216,46,2339.181287,BENIGN,Infrequent
2,0,12,0,6,461.2546125,BENIGN,Infrequent
2,2,84,186,45,0.054353291,BENIGN,Infrequent
1,1,54,108,54,32.9935002804,BENIGN,Infrequent
2,2,76,356,38,65.12112529,BENIGN,Infrequent
3,4,435,859,435,63.08086967,BENIGN,Infrequent
2,2,74,654,37,1646.090535,BENIGN,Infrequent
4,2,168,206,42,81.438198587,BENIGN,Infrequent
2,0,12,0,6,0.031201273999999998,BENIGN,Infrequent
2,2,82,310,41,32.966851830500005,BENIGN,Infrequent
3,3,86,7,86,46.0921535791,BENIGN,Infrequent
2,2,107,287,54,0.123148417,BENIGN,Infrequent
1,1,53,119,53,2754.820937,BENIGN,Infrequent
2,2,66,98,33,2247.191011236,BENIGN,Infrequent
2,2,112,224,56,28.336237800000003,BENIGN,Infrequent
2,2,78,206,39,6153.8461538462,BENIGN,Infrequent
2,2,97,177,53,0.030733563,BENIGN,Infrequent
436,620,48294,819475,1879,5.726262609,BENIGN,Infrequent
2,1,37,6,31,908.2652134,BENIGN,Infrequent
1,1,47,79,47,42.60213863,BENIGN,Infrequent
2,2,70,756,35,41.33939644,BENIGN,Infrequent
1,1,6,6,6,816.9934640522999,BENIGN,Infrequent
4,4,176,400,44,124.52912420000001,BENIGN,Infrequent
2,0,12,0,6,0.08137707599999999,BENIGN,Infrequent
2,2,96,180,48,25.91344908,BENIGN,Infrequent
3,4,443,872,437,13.31315651,BENIGN,Infrequent
2,2,76,108,38,54.02777027,BENIGN,Infrequent
7,4,1704,152,1105,1.393749313,BENIGN,Infrequent
2,2,68,262,34,10309.27835,BENIGN,Infrequent
9,7,1906,4215,821,0.149212969,BENIGN,Infrequent
21,17,1617,1584,566,0.180169138,BENIGN,Infrequent
2,0,12,0,6,153.83432040000002,BENIGN,Infrequent
1,1,43,59,43,9.5795534012,BENIGN,Infrequent
1,1,76,158,76,42.78623995,BENIGN,Infrequent
2,2,46,196,23,2141.3276231263,BENIGN,Infrequent
2,2,80,200,40,84.5308537616,BENIGN,Infrequent
3,1,0,0,0,0.5235368189999999,BENIGN,Frequent
1,1,43,87,43,2169.197397,BENIGN,Infrequent
12,7,535,3362,198,18.413126100000003,BENIGN,Infrequent
9,9,2221,5865,1876,0.673816862,BENIGN,Frequent
2,2,104,220,52,8968.6098654709,BENIGN,Infrequent
2,2,60,248,30,18.61452119,BENIGN,Infrequent
35,40,2686,6718,408,22.01968308,BENIGN,Frequent
1,1,48,48,48,12.3266563945,BENIGN,Infrequent
1,1,92,170,92,20.68979786,BENIGN,Frequent
2,2,78,134,39,32.33525189,BENIGN,Frequent
2,2,74,264,37,9.503535315,BENIGN,Frequent
2,2,68,406,34,8064.516129000001,BENIGN,Infrequent
13,10,1476,840,585,0.10966589999999998,BENIGN,Infrequent
2,2,96,96,48,0.029808863999999997,BENIGN,Infrequent
10,8,912,282,537,2.2521726146,BENIGN,Frequent
2,2,66,276,33,83.34027836,BENIGN,Frequent
2,2,0,12,0,3.758141073,BENIGN,Infrequent
1,1,52,80,52,19.94415636,BENIGN,Infrequent
2,0,0,0,0,53.08841876,BENIGN,Infrequent
15,12,862,3962,541,0.24830696,BENIGN,Infrequent
1,1,41,94,41,1.290687304,BENIGN,Infrequent
2,0,12,0,6,5102.0408163265,BENIGN,Infrequent
9,11,2328,7433,1983,0.888920583,BENIGN,Infrequent
18,15,1214,500,607,0.15290623,BENIGN,Infrequent
1,1,51,147,51,16.49076517,BENIGN,Infrequent
25,24,1213,18857,517,0.216966341,BENIGN,Infrequent
2,2,66,212,33,4.83547303,BENIGN,Infrequent
1,1,65,93,65,32.73643893,BENIGN,Infrequent
4,2,140,456,35,64.4610252526,BENIGN,Frequent
1,1,76,158,76,20.77792553,BENIGN,Infrequent
4,4,200,312,50,129.5546559,BENIGN,Infrequent
1,6,6,36,6,1.4064618480000002,BENIGN,Infrequent
27,26,684,36600,338,1.1918968495,BENIGN,Frequent
2,2,90,122,45,10.738428,BENIGN,Infrequent
1,1,56,72,56,19.9401794616,BENIGN,Infrequent
9,4,378,4993,191,1.776805931,BENIGN,Infrequent
13,8,1355,5791,997,40.6943074924,BENIGN,Infrequent
311,645,4700,995698,405,2.825628905,BENIGN,Infrequent
1,1,48,154,48,3.372840539,BENIGN,Infrequent
2,2,76,266,38,40.1953494,BENIGN,Infrequent
15,10,974,7387,469,52.395889367799995,BENIGN,Infrequent
940,1001,21519,1948416,753,253.87942617849998,BENIGN,Infrequent
1,1,86,168,86,20.96523963,BENIGN,Infrequent
2,2,90,216,45,36.89832666,BENIGN,Infrequent
2,2,66,258,33,9090.909091,BENIGN,Infrequent
7,8,11607,56,4380,0.726224022,BENIGN,Infrequent
1,1,46,62,46,19.81335817,BENIGN,Infrequent
4,2,112,120,28,23.38265124,BENIGN,Infrequent
10,5,1519,767,1269,0.333350245,BENIGN,Infrequent
2,2,50,82,25,64.8697739288,BENIGN,Infrequent
1,1,0,0,0,1240.6947890000001,BENIGN,Infrequent
2,2,84,198,42,64.36456087,BENIGN,Infrequent
23,20,1168,10148,569,0.198610476,BENIGN,Infrequent
2,2,80,234,40,41.90236748,BENIGN,Infrequent
2,0,436,0,436,2000000.0,BENIGN,Infrequent
31,38,1484,35324,475,0.266415143,BENIGN,Infrequent
15,15,617,4626,201,0.12679964,BENIGN,Infrequent
2,2,162,226,81,9615.384615384599,BENIGN,Infrequent
2,2,56,120,28,32.99567757,BENIGN,Infrequent
3,1,12,0,6,0.499993917,BENIGN,Infrequent
2,2,78,280,39,82.47082595,BENIGN,Infrequent
2,2,72,328,36,4950.49505,BENIGN,Infrequent
7,4,617,164,517,1.3243837784,BENIGN,Infrequent
1,1,54,116,54,21.010168921800002,BENIGN,Infrequent
1,1,54,118,54,32.73536729,BENIGN,Infrequent
2,2,94,302,47,15.50591938,BENIGN,Infrequent
3,1,0,0,0,0.5596394729999999,BENIGN,Infrequent
2,2,94,196,47,1578.5319650000001,BENIGN,Infrequent
20,19,884,6695,514,0.173478432,BENIGN,Infrequent
16,14,514,1812,430,0.137915099,BENIGN,Frequent
1,1,55,87,55,16.22296848,BENIGN,Infrequent
21,19,1392,4049,693,0.180853548,BENIGN,Frequent
24,23,9142,3918,2776,0.2176046298,BENIGN,Infrequent
1,1,42,106,42,15.47221191,BENIGN,Infrequent
1092,1609,18699,2926440,1659,9.122792537,BENIGN,Infrequent
13,9,17856,42,2920,551.0342489,BENIGN,Frequent
20,17,1281,2144,646,0.17159053600000002,BENIGN,Infrequent
8,6,376,5271,195,1.229591093,BENIGN,Infrequent
2,2,68,260,34,32.7444784623,BENIGN,Infrequent
1,1,0,0,0,34.7620537421,BENIGN,Infrequent
2,2,96,96,48,0.028978762999999998,BENIGN,Frequent
1,1,42,58,42,31.69873522,BENIGN,Infrequent
27,1,57604,6,3578,5583.126550999999,BENIGN,Infrequent
9,5,355,3064,198,1.669242865,BENIGN,Infrequent
2,2,62,142,31,41.39415515,BENIGN,Infrequent
3,1,12,0,6,0.544635414,BENIGN,Frequent
2,2,78,282,39,8368.200837,BENIGN,Infrequent
12,10,2417,4851,730,0.18053440440000001,BENIGN,Frequent
12,13,1242,9822,442,0.7468312881999999,BENIGN,Infrequent
22,22,1207,8771,572,0.190902987,BENIGN,Frequent
3,1,0,0,0,0.551406528,BENIGN,Infrequent
2,2,60,188,30,63.2211158527,BENIGN,Frequent
6,8,733,572,437,4.869813648,BENIGN,Frequent
1,1,43,71,43,32.7353672908,BENIGN,Infrequent
1,1,59,206,59,16.5041012692,BENIGN,Infrequent
3,4,437,858,437,63.200471900000004,BENIGN,Infrequent
2,2,68,380,34,42.456535122199995,BENIGN,Infrequent
2,0,12,0,6,1.9992582752,BENIGN,Infrequent
7,5,376,3508,201,35.00052501,BENIGN,Infrequent
2,2,120,284,60,41.8305028,BENIGN,Infrequent
35,57,6270,15305,762,1.9428458062,BENIGN,Infrequent
10,6,312,3958,186,1.9302183597999998,BENIGN,Infrequent
2,2,84,206,42,19.6918229705,BENIGN,Frequent
3,0,150,0,50,1.0001743637,BENIGN,Infrequent
2,2,72,104,36,64.4246875403,BENIGN,Infrequent
1,1,43,71,43,28.08830965,BENIGN,Infrequent
16,14,432,1950,432,0.138283267,BENIGN,Infrequent
2,2,82,169,42,0.042431740999999995,BENIGN,Infrequent
2,2,72,414,36,23.7800818,BENIGN,Infrequent
10,10,2246,4831,1567,0.9875700479999999,BENIGN,Infrequent
2,1,95,0,58,57.8084805,BENIGN,Infrequent
1,5,6,30,6,0.101395805,BENIGN,Infrequent
1,1,52,103,52,32.6840109818,BENIGN,Infrequent
2,2,96,268,48,4073.3197560000003,BENIGN,Infrequent
3,3,148,252,54,0.027941671,BENIGN,Infrequent
4,4,180,392,45,77.2902054,BENIGN,Infrequent
10,6,1152,1167,901,18.5681711837,BENIGN,Infrequent
7,9,11613,62,5840,1.0317419840000002,BENIGN,Infrequent
2,2,84,282,42,9900.9900990099,BENIGN,Infrequent
21,17,1748,2984,437,0.177598665,BENIGN,Infrequent
2,2,89,204,46,0.017771265300000002,BENIGN,Infrequent
23,23,916,14183,453,0.199776225,BENIGN,Infrequent
2,2,60,224,30,40.95087942,BENIGN,Infrequent
2,2,68,250,34,84.32769743,BENIGN,Infrequent
1,1,52,115,52,42.91108823,BENIGN,Frequent
2,2,82,210,41,9478.672985782,BENIGN,Infrequent
2,0,37,0,37,3154.574132,BENIGN,Infrequent
2,0,0,0,0,113.1285706,BENIGN,Infrequent
1,6,6,36,6,0.187305168,BENIGN,Infrequent
12,12,0,0,0,0.105610773,BENIGN,Infrequent
1,1,0,0,0,26.660268199999997,BENIGN,Infrequent
2,0,0,0,0,278.70680039999996,BENIGN,Infrequent
2,2,72,234,36,6622.5165560000005,BENIGN,Infrequent
2,2,109,221,59,0.020118447,BENIGN,Infrequent
1,1,45,194,45,16.2768364341,BENIGN,Infrequent
2,2,92,262,46,56.5674850096,BENIGN,Infrequent
2,2,90,122,45,5141.388175,BENIGN,Infrequent
5,3,376,656,376,0.12814990199999998,BENIGN,Infrequent
2,2,86,176,43,2427.184466,BENIGN,Infrequent
24,22,294,16029,294,0.2077094693,BENIGN,Infrequent
1,1,47,88,47,14.2961300376,BENIGN,Infrequent
6,3,11607,26,4380,3.702222815,BENIGN,Infrequent
15,11,873,7927,228,110.4939818,BENIGN,Infrequent
2,2,98,270,53,0.016784293,BENIGN,Infrequent
2,1,12,6,6,147.88524109999997,BENIGN,Infrequent
20,16,1276,697,641,0.17205993600000002,BENIGN,Infrequent
4,2,116,218,29,64.82351797,BENIGN,Infrequent
1,5,6,30,6,0.139222307,BENIGN,Infrequent
3,1,12,0,6,0.5771694839,BENIGN,Infrequent
22,22,305,18403,294,0.191106582,BENIGN,Frequent
2,2,97,280,54,0.08582202900000001,BENIGN,Frequent
2,2,90,196,45,5.319417737,BENIGN,Frequent
2,2,84,208,42,65.03007641,BENIGN,Infrequent
5,5,1457,568,1457,0.33143114,BENIGN,Infrequent
5,2,129,92,46,0.9726740834000001,BENIGN,Infrequent
28,26,18102,4776,5499,0.235472715,BENIGN,Infrequent
1,1,50,230,50,21.22105978,BENIGN,Infrequent
2,2,60,400,30,23.56045613,BENIGN,Infrequent
2,0,0,0,0,0.499518963,BENIGN,Infrequent
7,5,376,3508,201,33.72242589,BENIGN,Infrequent
6,4,115,3229,115,14.89939186,BENIGN,Infrequent
2,2,76,172,38,31.96879845,BENIGN,Infrequent
2,2,103,191,55,0.043800702000000004,BENIGN,Infrequent
2,2,58,162,29,65.0110518788,BENIGN,Infrequent
2,2,80,242,40,41.168358000000005,BENIGN,Infrequent
1,1,48,233,48,21.31923421,BENIGN,Infrequent
2,2,78,310,39,32.9109758104,BENIGN,Infrequent
2,1,12,6,6,18.61902678,BENIGN,Infrequent
2,0,12,0,6,7380.0738007380005,BENIGN,Infrequent
1,1,6,0,6,67.80580417680001,BENIGN,Infrequent
16,14,437,746,437,0.1383476613,BENIGN,Infrequent
4,4,437,859,437,84.55050836,BENIGN,Infrequent
2,2,84,310,42,83.52823254,BENIGN,Infrequent
9,5,384,3298,197,1.680786205,BENIGN,Infrequent
4,2,140,162,35,65.41612835,BENIGN,Infrequent
1,1,47,79,47,12.73333843,BENIGN,Infrequent
4,4,180,364,45,42.49442261,BENIGN,Frequent
15,15,2862,1304,1394,0.125001574,BENIGN,Infrequent
18,17,3197,448,1567,0.15280080199999999,BENIGN,Infrequent
2,2,70,326,35,8000.0,BENIGN,Infrequent
8,6,376,3938,195,1.406161236,BENIGN,Infrequent
2,2,64,542,32,82.41645032,BENIGN,Infrequent
3,1,50,6,38,82.77688869,BENIGN,Infrequent
2,2,66,260,33,8510.6382978724,BENIGN,Infrequent
17,15,426,663,426,0.146676002,BENIGN,Infrequent
1,1,43,75,43,16.06296683,BENIGN,Infrequent
54,65,895,136377,421,178.0509358,BENIGN,Infrequent
2,2,68,100,34,63.67196205,BENIGN,Infrequent
5,1,135,46,46,1.424180477,BENIGN,Infrequent
8,10,856,7629,492,1.5448220462,BENIGN,Infrequent
1,1,45,356,45,21.5782318797,BENIGN,Infrequent
13,12,731,3403,348,0.21421009800000002,BENIGN,Infrequent
1,1,52,116,52,29.03010422,BENIGN,Infrequent
1,1,55,71,55,0.89483697,BENIGN,Infrequent
2,2,76,200,38,32.70859909,BENIGN,Infrequent
1,1,43,139,43,41.59906818,BENIGN,Frequent
13,9,831,6057,357,25.5686567605,BENIGN,Infrequent
7,6,1602,1090,1034,3.4953895810000004,BENIGN,Infrequent
17,16,9046,5855,2716,0.282463858,BENIGN,Infrequent
5,4,302,157,239,0.7121640758,BENIGN,Infrequent
1,3,0,0,0,2915.451895,BENIGN,Infrequent
2,2,72,328,36,6430.8681672026005,BENIGN,Infrequent
2,2,136,314,93,0.591775854,BENIGN,Infrequent
1,1,40,106,40,20.74904036,BENIGN,Infrequent
2,2,62,246,31,32.8596073277,BENIGN,Infrequent
4,2,176,198,44,66.29321489,BENIGN,Frequent
6,7,343,5200,199,1.172681218,BENIGN,Infrequent
2,2,78,110,39,8547.0085470086,BENIGN,Infrequent
3,1,0,0,0,0.597146476,BENIGN,Infrequent
1,1,58,114,58,1773.0496449999998,BENIGN,Infrequent
9,7,383,6443,196,1.6634546588999999,BENIGN,Infrequent
1,1,6,6,6,24.781919111799997,BENIGN,Infrequent
2,2,66,442,33,5076.142132,BENIGN,Infrequent
3,1,12,0,6,0.57972482,BENIGN,Infrequent
29,55,1260,77295,389,65.47147363,BENIGN,Infrequent
1,1,53,143,53,2.774409952,BENIGN,Infrequent
2,2,54,178,27,60.90319437,BENIGN,Infrequent
11,9,759,5679,398,1.015167807,BENIGN,Infrequent
3,1,12,0,6,0.563312155,BENIGN,Infrequent
9,6,381,5716,200,1.7212431430000001,BENIGN,Infrequent
334,681,5573,1338428,206,2.797376888,BENIGN,Infrequent
4,1,18,0,6,33.2463387469,BENIGN,Infrequent
1,1,57,159,57,4.933983303,BENIGN,Infrequent
2,2,60,220,30,64.73120368,BENIGN,Infrequent
1,1,0,0,0,5.290669375,BENIGN,Infrequent
2,2,66,194,33,64.61617989,BENIGN,Infrequent
2,2,76,332,38,73.33260001,BENIGN,Infrequent
1,1,62,90,62,20.00360065,BENIGN,Infrequent
2,0,0,0,0,460.5111674,BENIGN,Infrequent
2,2,88,200,44,62.85552657,BENIGN,Frequent
1,1,0,0,0,26.97599137,BENIGN,Infrequent
1,1,0,0,0,25.62394301,BENIGN,Frequent
3,4,391,598,385,36.7615523178,BENIGN,Infrequent
19,16,1392,2244,434,0.16372973,BENIGN,Infrequent
8,7,2298,5079,1590,7.965176249,BENIGN,Infrequent
7,7,323,4515,197,6.050051208999999,BENIGN,Infrequent
2,1,12,6,6,54.80352935,BENIGN,Infrequent
3,1,38,0,38,651.4657980000001,BENIGN,Frequent
2,2,64,96,32,84.47729673,BENIGN,Infrequent
1,1,50,111,50,32.0,BENIGN,Infrequent
10,7,559,3944,202,20.54134665,BENIGN,Infrequent
4,2,144,238,36,32.16959812,BENIGN,Infrequent
2,2,60,92,30,63.3252066,BENIGN,Infrequent
6,5,813,324,789,0.1973540545,BENIGN,Frequent
22,24,3598,9912,1751,0.191901877,BENIGN,Infrequent
2,2,88,292,44,40.929090351,BENIGN,Frequent
1,1,83,211,83,179.4687724,BENIGN,Infrequent
1,1,52,80,52,32.25494307,BENIGN,Infrequent
1,1,37,124,37,32.79118573,BENIGN,Infrequent
9,7,386,6523,199,1.5614186630000002,BENIGN,Infrequent
2,2,82,342,41,64.73329881,BENIGN,Infrequent
2,1,0,0,0,0.387536065,BENIGN,Infrequent
2,2,66,122,33,40.12680069,BENIGN,Infrequent
3,1,18,6,6,3618.8178528347,BENIGN,Infrequent
1,1,47,138,47,10.23279611,BENIGN,Infrequent
1,1,51,111,51,1697.792869,BENIGN,Infrequent
5,1,135,46,46,0.895772563,BENIGN,Infrequent
3,0,18,0,6,27.982725330900003,BENIGN,Infrequent
2,2,136,300,68,84.15737429,BENIGN,Infrequent
2,2,96,96,48,0.031204119,BENIGN,Infrequent
1,1,47,180,47,12.32058153,BENIGN,Infrequent
2,2,96,96,48,0.030759237999999998,BENIGN,Infrequent
2,2,112,234,56,65.0469964549,BENIGN,Infrequent
3,1,12,0,6,0.5177664659000001,BENIGN,Infrequent
7,4,617,164,517,1.2852658591,BENIGN,Infrequent
2,2,80,202,40,10101.0101,BENIGN,Infrequent
14,21,619,29980,619,251.51809133700002,BENIGN,Infrequent
5,1,135,46,46,0.7688511929999999,BENIGN,Infrequent
25,32,786,34332,344,0.32781534,BENIGN,Frequent
8,6,586,3569,326,1.515582365,BENIGN,Frequent
1,1,43,167,43,16.35322976,BENIGN,Infrequent
18,15,944,1498,427,0.155751464,BENIGN,Infrequent
2,2,100,208,51,0.574454304,BENIGN,Infrequent
1,1,51,112,51,1923.076923,BENIGN,Frequent
2,0,0,0,0,0.031218551,BENIGN,Infrequent
2,2,92,254,46,60.75703263,BENIGN,Infrequent
2,2,118,190,63,0.024157893,BENIGN,Infrequent
4,5,517,3870,517,0.791112797,BENIGN,Frequent
2,2,60,264,30,42.83297282,BENIGN,Infrequent
6,1,465,6,317,193.6920941,BENIGN,Infrequent
2,0,0,0,0,0.079583859,BENIGN,Infrequent
2,2,68,158,34,64.3169539491,BENIGN,Infrequent
1,1,0,0,0,31.00967502,BENIGN,Frequent
17,16,2430,4442,1625,0.277697536,BENIGN,Infrequent
1,1,51,67,51,32.893654814,BENIGN,Infrequent
2,2,80,452,40,2074.6887966804998,BENIGN,Infrequent
10,7,547,4501,190,36.16518811,BENIGN,Infrequent
10,8,539,3967,206,37.35078362,BENIGN,Infrequent
15,13,1838,5013,1180,0.12697935300000002,BENIGN,Infrequent
8,8,383,4378,202,1.30346041,BENIGN,Infrequent
1,1,47,75,47,20.05977814,BENIGN,Infrequent
4,4,208,424,52,106.41977279379999,BENIGN,Infrequent
10,10,1520,3992,901,0.110617089,BENIGN,Frequent
1,1,47,103,47,16.328663335599998,BENIGN,Frequent
14,12,995,4852,390,73.4584225328,BENIGN,Infrequent
11,7,2058,559,1448,53.000298728999994,BENIGN,Infrequent
21,19,1038,5084,655,0.181656061,BENIGN,Infrequent
2,1,0,0,0,38.1861575179,BENIGN,Frequent
22,20,5071,5671,4341,0.189370562,BENIGN,Infrequent
2,2,111,232,56,0.175774882,BENIGN,Infrequent
2,2,64,444,32,5.884706823999999,BENIGN,Infrequent
1,1,0,0,0,19.69744721,BENIGN,Infrequent
2,2,90,146,45,21.55544059,BENIGN,Infrequent
2,2,76,206,38,64.2549637,BENIGN,Infrequent
2,2,88,250,44,84.22116478,BENIGN,Infrequent
3,1,0,0,0,0.570293308,BENIGN,Infrequent
2,2,68,482,34,82.7985924239,BENIGN,Infrequent
2,2,78,276,39,10869.56522,BENIGN,Infrequent
2,2,82,254,41,39.63456927,BENIGN,Infrequent
10,6,1152,1119,901,19.8336354657,BENIGN,Infrequent
2,2,101,201,54,0.0457004899,BENIGN,Infrequent
2,1,0,0,0,0.376377636,BENIGN,Infrequent
2,2,64,96,32,65.1084055,BENIGN,Infrequent
23,45,871,63125,389,65.91806671,BENIGN,Infrequent
1,1,58,145,58,20.612181799400002,BENIGN,Infrequent
1,1,61,77,61,19.73164957,BENIGN,Infrequent
2,2,60,200,30,82.25375283,BENIGN,Infrequent
2,2,94,220,47,64.180732944,BENIGN,Infrequent
17,15,897,22866,357,36.63161524,BENIGN,Infrequent
1,1,0,0,0,19.1457180602,BENIGN,Infrequent
9,6,384,4080,191,1.640023274,BENIGN,Infrequent
2,2,70,192,35,63.04176517,BENIGN,Infrequent
1,1,45,157,45,32.2643092211,BENIGN,Infrequent
2,2,84,210,42,14.73459314,BENIGN,Frequent
11,11,1031,8812,402,0.710034956,BENIGN,Infrequent
1,1,41,152,41,32.011267966300004,BENIGN,Infrequent
1,1,45,61,45,30.29017992,BENIGN,Infrequent
2,1,0,0,0,87.2143729287,BENIGN,Infrequent
2,2,72,104,36,8130.081301,BENIGN,Infrequent
2,2,68,166,34,79.76708013,BENIGN,Infrequent
